,Zone,Time,Value
0,PGE_valley,1,84.67667892495513
1,PGE_valley,2,83.45342032090281
2,PGE_valley,3,72.51205169576816
3,PGE_valley,4,62.25027118399589
4,PGE_valley,5,52.60011997424981
5,PGE_valley,6,37.649181480276994
6,PGE_valley,7,31.32901202600668
7,PGE_valley,8,25.688430685098744
8,PGE_valley,9,28.27086551587587
9,PGE_valley,10,25.28067781708131
10,PGE_valley,11,29.018412440574508
11,PGE_valley,12,27.79515383652219
12,PGE_valley,13,24.669048515055145
13,PGE_valley,14,33.91144685678379
14,PGE_valley,15,37.71714029161324
15,PGE_valley,16,24.940883760400112
16,PGE_valley,17,28.88249481790204
17,PGE_valley,18,105.60799281651708
18,PGE_valley,19,123.07340732993077
19,PGE_valley,20,148.0142910903309
20,PGE_valley,21,194.56607685565533
21,PGE_valley,22,173.36292771874847
22,PGE_valley,23,137.34475771054122
23,PGE_valley,24,107.57879834526803
24,PGE_bay,1,158.76877298429085
25,PGE_bay,2,156.47516310169277
26,PGE_bay,3,135.9600969295653
27,PGE_bay,4,116.71925846999231
28,PGE_bay,5,98.6252249517184
29,PGE_bay,6,70.59221527551937
30,PGE_bay,7,58.74189754876253
31,PGE_bay,8,48.165807534560145
32,PGE_bay,9,53.007872842267254
33,PGE_bay,10,47.40127090702746
34,PGE_bay,11,54.4095233260772
35,PGE_bay,12,52.11591344347911
36,PGE_bay,13,46.2544659657284
37,PGE_bay,14,63.58396285646961
38,PGE_bay,15,70.71963804677482
39,PGE_bay,16,46.764157050750214
40,PGE_bay,17,54.15467778356632
41,PGE_bay,18,198.01498653096954
42,PGE_bay,19,230.76263874362022
43,PGE_bay,20,277.5267957943704
44,PGE_bay,21,364.8113941043537
45,PGE_bay,22,325.0554894726534
46,PGE_bay,23,257.5214207072648
47,PGE_bay,24,201.71024689737757
48,SCE,1,597.7177335879185
49,SCE,2,589.0829669710786
50,SCE,3,511.84977667601055
51,SCE,4,439.4136789458534
52,SCE,5,371.29496452411627
53,SCE,6,265.7589280960729
54,SCE,7,221.1459672424001
55,SCE,8,181.3300989536382
56,SCE,9,199.55905070030025
57,SCE,10,178.4518434146916
58,SCE,11,204.8358525217024
59,SCE,12,196.20108590486254
60,SCE,13,174.13446010627163
61,SCE,14,239.37491898906208
62,SCE,15,266.23863735256407
63,SCE,16,176.05329713223608
64,SCE,17,203.87643400872028
65,SCE,18,745.4681845871794
66,SCE,19,868.7534635053938
67,SCE,20,1044.8067606376298
68,SCE,21,1373.4076013340377
69,SCE,22,1223.7383133088126
70,SCE,23,969.4924073685263
71,SCE,24,759.3797530254215
72,SDGE,1,94.94995247099747
73,SDGE,2,93.57828381571822
74,SDGE,3,81.3094697323871
75,SDGE,4,69.80269379087775
76,SDGE,5,58.981752177008055
77,SDGE,6,42.21691305692825
78,SDGE,7,35.129958337985435
79,SDGE,8,28.805041760864402
80,SDGE,9,31.70078669978728
81,SDGE,10,28.347818875771324
82,SDGE,11,32.53902865579127
83,SDGE,12,31.167360000512016
84,SDGE,13,27.66198454813169
85,SDGE,14,38.0257032769083
86,SDGE,15,42.293116871110435
87,SDGE,16,27.966799804860422
88,SDGE,17,32.38662102742692
89,SDGE,18,118.42072723910923
90,SDGE,19,138.00510748392975
91,SDGE,20,165.97190728879013
92,SDGE,21,218.1715200035841
93,SDGE,22,194.39592997874368
94,SDGE,23,154.00790846218777
95,SDGE,24,120.63063785039246
96,PGE_valley,25,89.27694569333592
97,PGE_valley,26,75.51998455921031
98,PGE_valley,27,68.13994811746583
99,PGE_valley,28,65.99042294025871
100,PGE_valley,29,65.99042294025871
101,PGE_valley,30,71.79414091871796
102,PGE_valley,31,70.57607665163393
103,PGE_valley,32,64.27080279849301
104,PGE_valley,33,73.87201525668485
105,PGE_valley,34,82.61341764399381
106,PGE_valley,35,89.42024737181639
107,PGE_valley,36,89.85015240725781
108,PGE_valley,37,71.65083924023747
109,PGE_valley,38,54.168034465619535
110,PGE_valley,39,51.2303500567698
111,PGE_valley,40,41.98739179477916
112,PGE_valley,41,19.41737743410436
113,PGE_valley,42,14.831723722729157
114,PGE_valley,43,21.351950093590773
115,PGE_valley,44,34.9656095492359
116,PGE_valley,45,46.28644214919342
